2025-10-02 11:36:25,701 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 36mm < 100mm (TOO CLOSE)
2025-10-02 11:36:26,835 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 20mm < 100mm (TOO CLOSE)
2025-10-02 11:36:27,971 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 20mm < 100mm (TOO CLOSE)
2025-10-02 11:36:28,980 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 21mm < 100mm (TOO CLOSE)
2025-10-02 11:36:29,999 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 20mm < 100mm (TOO CLOSE)
2025-10-02 11:36:31,134 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 20mm < 100mm (TOO CLOSE)
2025-10-02 11:36:32,271 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 20mm < 100mm (TOO CLOSE)
2025-10-02 11:36:33,408 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 21mm < 100mm (TOO CLOSE)
2025-10-02 11:36:34,410 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 20mm < 100mm (TOO CLOSE)
2025-10-02 11:36:35,551 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 20mm < 100mm (TOO CLOSE)
2025-10-02 11:36:36,687 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 20mm < 100mm (TOO CLOSE)
2025-10-02 11:36:37,825 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 20mm < 100mm (TOO CLOSE)
2025-10-02 11:36:38,961 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 25mm < 100mm (TOO CLOSE)
2025-10-02 11:36:39,966 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 20mm < 100mm (TOO CLOSE)
2025-10-02 11:36:41,102 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 76mm < 100mm (TOO CLOSE)
2025-10-02 11:36:41,531 | INFO | app.session_manager | 👆 ToF triggered (distance=100mm in range 100-500mm) - starting session
2025-10-02 11:36:41,531 | INFO | app.backend.http_client | bridge.issue_token: requesting new hardware token
2025-10-02 11:36:42,114 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 121mm 100-500mm (TRIGGER)
2025-10-02 11:36:42,369 | INFO | httpx | HTTP Request: POST https://mdai.mercle.ai/auth "HTTP/1.1 200 OK"
2025-10-02 11:36:42,370 | INFO | app.session_manager | 📱 Token issued: eyJhbGciOiJI... (expires in 180s)
2025-10-02 11:36:43,253 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 41mm < 100mm (TOO CLOSE)
2025-10-02 11:36:44,388 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 23mm < 100mm (TOO CLOSE)
2025-10-02 11:36:44,532 | INFO | app.session_manager | 👋 Showing hello human screen (3.0s)
2025-10-02 11:36:44,676 | INFO | app.session_manager | ToF: distance=5000mm, phase=hello_human, range=100-500mm
2025-10-02 11:36:44,677 | INFO | app.session_manager | ⚠️ User moved too far (distance=5000mm, valid range 100-500mm) - will cancel in 3.0s...
2025-10-02 11:36:45,526 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 36mm < 100mm (TOO CLOSE)
2025-10-02 11:36:46,032 | INFO | app.session_manager | 📱 Showing scan prompt screen
2025-10-02 11:36:46,033 | INFO | app.backend.ws_client | Connecting to bridge websocket wss://mdai.mercle.ai/ws/hardware?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJwYWlyIiwianRpIjoiOTc1NDJiMzgxNDQwNGNlNzljNDEyYjVlZDZiNjEzYjkiLCJleHAiOjE3NTk0MDUxODJ9.97d7c6S214anqenPXkk-XN8Xo7jCqJFRGfCczhLDjFw
2025-10-02 11:36:46,607 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 55mm < 100mm (TOO CLOSE)
2025-10-02 11:36:46,926 | INFO | app.session_manager | 📱 QR code displayed - waiting for mobile app
2025-10-02 11:36:46,926 | INFO | app.session_manager | ⏳ Waiting for mobile app connection (timeout=175.0s)
2025-10-02 11:36:46,926 | INFO | app.session_manager | Bridge message received: joined
2025-10-02 11:36:47,678 | WARNING | app.session_manager | 🚶 User walked away for 3.0s - cancelling session
2025-10-02 11:36:47,678 | INFO | app.session_manager | ⚠️ Session cancelled (user walked away)
2025-10-02 11:36:47,679 | INFO | app.session_manager | 📷 Camera deactivated in cleanup
2025-10-02 11:36:47,741 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 96mm < 100mm (TOO CLOSE)
2025-10-02 11:36:47,945 | INFO | app.session_manager | 🔄 Session cleaned up, returning to idle
2025-10-02 11:36:48,884 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 45mm < 100mm (TOO CLOSE)
2025-10-02 11:36:50,025 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 87mm < 100mm (TOO CLOSE)
2025-10-02 11:36:51,166 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 41mm < 100mm (TOO CLOSE)
2025-10-02 11:36:52,304 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 32mm < 100mm (TOO CLOSE)
2025-10-02 11:36:53,444 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 99mm < 100mm (TOO CLOSE)
2025-10-02 11:36:54,588 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 33mm < 100mm (TOO CLOSE)
2025-10-02 11:36:55,160 | INFO | app.session_manager | 👆 ToF triggered (distance=103mm in range 100-500mm) - starting session
2025-10-02 11:36:55,160 | INFO | app.backend.http_client | bridge.issue_token: requesting new hardware token
2025-10-02 11:36:55,595 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 103mm 100-500mm (TRIGGER)
2025-10-02 11:36:55,964 | INFO | httpx | HTTP Request: POST https://mdai.mercle.ai/auth "HTTP/1.1 200 OK"
2025-10-02 11:36:55,968 | INFO | app.session_manager | 📱 Token issued: eyJhbGciOiJI... (expires in 180s)
2025-10-02 11:36:56,599 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 79mm < 100mm (TOO CLOSE)
2025-10-02 11:36:57,734 | INFO | app.sensors.python_tof | 📏 Python ToF reading: 25mm < 100mm (TOO CLOSE)
2025-10-02 11:36:58,161 | INFO | app.session_manager | 👋 Showing hello human screen (3.0s)
2025-10-02 11:36:58,161 | INFO | app.session_manager | ToF: distance=5000mm, phase=hello_human, range=100-500mm
2025-10-02 11:36:58,162 | INFO | app.session_manager | ⚠️ User moved too far (distance=5000mm, valid range 100-500mm) - will cancel in 3.0s...
